기업명,기업코드,기업유형,결산기,이익 과대계상 (비용 과소계상),유형,유형,유형,유형,유형
제이더블유바이오사이언스(주),,비상장,2018,1,A-1,A-10,,,
제이더블유바이오사이언스(주),,비상장,2019,1,A-1,A-10,,,
(주)디엘팜,,비상장,2014,1,A-1,,,,
(주)디엘팜,,비상장,2015,1,A-1,A-2,,,
(주)디엘팜,,비상장,2016,1,A-1,A-2,,,
(주)디엘팜,,비상장,2017,1,A-1,A-2,,,
(주)디엘팜,,비상장,2018,1,A-1,A-2,,,
(주)디엘팜,,비상장,2019,1,A-1,A-2,,,
(주)디엘팜,,비상장,2020,1,A-1,A-2,,,
(주)디엘팜,,비상장,2021,1,A-1,A-2,,,
아시아나항공(주),020560,코스피,2015,0,,,,,
아시아나항공(주),020560,코스피,2016,0,,,,,
금호고속(주),,비상장,2015,0,,,,,
금호고속(주),,비상장,2016,0,,,,,
금호고속(주),,비상장,2017,1,A-5,,,,
아시아나아이디티(주)(아시아나IDT),267850,코스피,2015,0,,,,,
아시아나에어포트(주),,비상장,2015,0,,,,,
에어부산(주),298690,코스피,2015,0,,,,,
(주)뉴메디팜,,비상장,2017,1,A-2,,,,
동양물산기업(주)(TYM),002900,코스피,2015,1,A-9,A-10,,,
(주)와이오엠,066430,코스닥,2014,1,A-2,,,,
(주)와이오엠,066430,코스닥,2015,1,A-2,,,,
(주)와이오엠,066430,코스닥,2016,0,,,,,
세신버팔로(주),110660,코넥스,2014,1,A-1,A-2,A-9,,
세신버팔로(주),110660,코넥스,2015,1,A-1,A-2,A-9,,
(주)원일산업,,비상장,2014,1,A-9,,,,
(주)원일산업,,비상장,2015,1,A-9,,,,
(주)원일산업,,비상장,2016,1,A-9,,,,
제이비어뮤즈먼트(주)(글로앤웰),035480,코스닥,2012,1,A-3,,,,
제이비어뮤즈먼트(주),035480,코스닥,2013,1,A-3,,,,
제이비어뮤즈먼트(주),035480,코스닥,2014,1,A-3,,,,
제이비어뮤즈먼트(주),035480,코스닥,2015,1,A-3,A-1,A-6,,
제이비어뮤즈먼트(주),035480,코스닥,2016,1,A-3,A-1,A-6,,
제이비어뮤즈먼트(주),035480,코스닥,2017,1,A-3,,,,
(주)에이케이벨루가,,비상장,2013,1,A-3,,,,
(주)에이케이벨루가,,비상장,2014,1,A-3,,,,
현대건설(주),000720,코스피,2013,1,A-1,,,,
현대건설(주),000720,코스피,2014,1,A-1,,,,
현대건설(주),000720,코스피,2015,1,A-1,A-9,,,
현대건설(주),000720,코스피,2016,1,A-1,A-9,,,
(주)크레아,,비상장,2013,1,A-5,,,,
(주)크레아,,비상장,2014,1,A-5,,,,
(주)크레아,,비상장,2015,1,A-5,,,,
삼성바이오로직스(주),207940,코스피,2012,1,A-11,,,,
삼성바이오로직스(주),207940,코스피,2013,1,A-11,,,,
삼성바이오로직스(주),207940,코스피,2014,1,A-11,,,,
삼성바이오로직스(주),207940,코스피,2015,1,A-5,,,,
삼성바이오로직스(주),207940,코스피,2016,1,A-5,,,,
삼성바이오로직스(주),207940,코스피,2017,1,A-5,,,,
(주)제낙스,065620,코스닥,2012,1,A-3,A-1,,,
(주)제낙스,065620,코스닥,2013,1,A-3,A-1,,,
(주)제낙스,065620,코스닥,2014,1,A-3,A-1,,,
(주)제낙스,065620,코스닥,2015,1,A-3,A-1,,,
(주)제낙스,065620,코스닥,2016,1,A-3,A-1,,,
(주)제낙스,065620,코스닥,2017,1,A-3,A-1,,,
(주)제낙스,065620,코스닥,2018,1,A-1,,,,
나노캠텍(주),091970,코스닥,2018,0,,,,,
유진기업(주),023410,코스닥,2014,1,A-9,,,,
유진기업(주),023410,코스닥,2015,1,A-9,,,,
(주)청호컴넷(청호ICT),012600,코스피,2015,0,,,,,
(주)씨씨에스충북방송(씨씨에스),066790,코스닥,2014,1,A-3,A-5,,,
(주)씨씨에스충북방송,066790,코스닥,2015,1,A-3,A-5,,,
(주)씨씨에스충북방송,066790,코스닥,2016,1,A-3,A-5,,,
(주)씨씨에스충북방송,066790,코스닥,2017,1,A-3,A-5,,,
(주)리젠,038340,코스닥,2014,1,A-5,,,,
(주)리젠,038340,코스닥,2015,1,A-5,,,,
(주)에이모션,031860,코스닥,2013,0,,,,,
(주)에이모션,031860,코스닥,2014,0,,,,,
성안합섬(주),,비상장,2016,1,A-1,,,,
성안합섬(주),,비상장,2017,1,A-1,,,,
성안합섬(주),,비상장,2018,1,A-1,,,,
성안합섬(주),,비상장,2019,1,A-1,A-5,,,
성안합섬(주),,비상장,2020,1,A-1,A-5,A-10,A-2,
현대중공업터보기계(주),,비상장,2017,0,,,,,
현대중공업터보기계(주),,비상장,2018,0,,,,,
(주)모뉴엘,,비상장,2012,1,A-1,,,,
(주)모뉴엘,,비상장,2013,1,A-1,,,,
잘만테크(주),,비상장,2012,1,A-1,,,,
잘만테크(주),,비상장,2013,1,A-1,,,,
(주)로켓모바일,043710,코스닥,2012,0,,,,,
한생산업(주),,비상장,2012,1,A-9,A-3,,,
한솔아트원제지(주),007190,코스피,2012,1,A-2,A-5,,,
한솔아트원제지(주),007190,코스피,2013,1,A-2,A-5,,,
(주)씨젠,096530,코스닥,2012,1,A-1,A-4,,,
(주)씨젠,096530,코스닥,2013,1,A-1,A-4,,,
(주)씨젠,096530,코스닥,2014,1,A-1,A-4,,,
(주)씨젠,096530,코스닥,2015,1,A-1,A-4,,,
(주)씨젠,096530,코스닥,2016,1,A-1,A-4,,,
(주)씨젠,096530,코스닥,2017,1,A-1,A-4,,,
(주)씨젠,096530,코스닥,2018,1,A-1,,,,
(주)코썬바이오,,비상장,2017,1,A-9,,,,
(주)코썬바이오,,비상장,2018,1,A-9,,,,
(주)코썬바이오,,비상장,2019,1,A-9,,,,
(주)에이풀,,비상장,2017,1,A-9,,,,
(주)에이풀,,비상장,2018,1,A-9,,,,
(주)에이풀,,비상장,2019,1,A-9,,,,
(주)에스마크,030270,코스닥,2016,1,A-3,A-7,,,
(주)에스마크,030270,코스닥,2017,1,A-3,A-7,,,
삼성바이오로직스(주),207940,코스피,2012,0,,,,,
삼성바이오로직스(주),207940,코스피,2013,0,,,,,
삼성바이오로직스(주),207940,코스피,2014,0,,,,,
삼성바이오로직스(주),207940,코스피,2015,0,,,,,
(주)리드,,비상장,2017,1,A-9,,,,
(주)리드,,비상장,2018,1,A-9,A-3,,,
씨앤티85(주),056730,코스닥,2015,1,A-1,,,,
씨앤티85(주),056730,코스닥,2016,1,A-9,,,,
(주)케이에스벽지,,비상장,2016,0,,,,,
(주)금오하이텍,165270,코넥스,2013,1,A-9,,,,
(주)금오하이텍,165270,코넥스,2014,1,A-11,A-9,A-1,,
(주)금오하이텍,165270,코넥스,2015,1,A-1,,,,
조선내화(주),462520,코스피,2012,1,A-6,,,,
조선내화(주),462520,코스피,2013,1,A-6,,,,
에스엘(주),005850,코스피,2013,0,,,,,
에스엘(주),005850,코스피,2014,0,,,,,
에스엘(주),005850,코스피,2015,0,,,,,
에스엘(주),005850,코스피,2016,0,,,,,
에스엘(주),005850,코스피,2017,0,,,,,
에스엘(주),005850,코스피,2018,1,A-1,,,,
(주)크레아,,비상장,2012,1,A-3,,,,
(주)크레아,,비상장,2013,1,A-3,,,,
(주)크레아,,비상장,2014,1,A-3,,,,
(주)디오,039840,코스닥,2012,1,A-1,,,,
(주)디오,039840,코스닥,2013,1,A-1,A-9,,,
(주)디오,039840,코스닥,2014,1,A-1,A-9,,,
(주)디오,039840,코스닥,2015,1,A-1,A-9,,,
(주)디오,039840,코스닥,2016,1,A-1,,,,
도이치모터스(주),067990	,코스닥,2016,0,,,,,
(주)알파홀딩스,117670,코스닥,2016,1,A-10,,,,
(주)이씨스,,비상장,2015,1,A-3,A-1,,,
(주)이씨스,,비상장,2016,1,A-3,A-1,,,
(주)이씨스,,비상장,2017,1,A-3,A-1,,,
(주)이씨스,,비상장,2018,1,A-3,A-1,,,
(주)이씨스,,비상장,2019,1,A-3,,,,
태정산업(주),,비상장,2012,1,A-11,A-5,,,
(주)한진피엔씨,061460,코스닥,2012,1,A-5,,,,
(주)한진피엔씨,061460,코스닥,2013,1,A-5,,,,
백광산업(주),001340,코스피,2015,1,A-6,,,,
백광산업(주),001340,코스피,2016,1,A-6,,,,
백광산업(주),001340,코스피,2017,1,A-6,,,,
백광산업(주),001340,코스피,2018,1,A-6,,,,
(주)씨앗,103660,코넥스,2014,1,A-1,,,,
(주)씨앗,103660,코넥스,2015,1,A-1,A-9,,,
(주)씨앗,103660,코넥스,2016,1,A-1,A-9,,,
(주)씨앗,103660,코넥스,2017,1,A-1,A-9,,,
(주)씨앗,103660,코넥스,2018,1,A-1,A-9,,,
(주)씨앗,103660,코넥스,2019,1,A-1,A-9,A-5,,
(주)다이나젠,,비상장,2013,1,A-1,,,,
(주)다이나젠,,비상장,2014,1,A-1,,,,
(주)효성,004800,코스피,2013,1,A-11,A-3,,,
(주)효성,004800,코스피,2014,1,A-11,A-3,,,
(주)효성,004800,코스피,2015,1,A-11,A-3,,,
한솔홀딩스(주),004150,코스피,2012,1,A-13,,,,
한솔홀딩스(주),004150,코스피,2013,1,A-13,,,,
(주)삼일,032280,코스닥,2014,0,,,,,
(주)삼일,032280,코스닥,2015,0,,,,,
아래스(주)  / [구](주)에이앤티앤,050320	,코스닥,2017,1,A-1,A-11,,,
아래스(주)  / [구](주)에이앤티앤,050320	,코스닥,2018,1,A-1,A-11,,,
(주)시노펙스,025320,코스닥,2016,1,A-11,,,,
(주)시노펙스,025320,코스닥,2017,1,A-11,,,,
미화콘크리트(주),,비상장,2012,1,A-1,A-10,,,
미화콘크리트(주),,비상장,2013,1,A-1,A-10,,,
(주)화인에프티,,비상장,2013,1,A-1,A-4,,,
(주)화인에프티,,비상장,2014,1,A-1,A-4,,,
(주)씨엠에스에듀,225330,코스닥,2016,1,A-1,A-8,,,
(주)씨엠에스에듀,225330,코스닥,2017,1,A-1,A-8,,,
(주)청담러닝,096240,코스닥,2016,1,A-13,,,,
(주)청담러닝,096240,코스닥,2017,1,A-13,,,,
(주)엘앤케이바이오메드,156100,코스닥,2017,1,A-1,,,,
미화콘크리트(주),,비상장,2012,1,A-1,A-10,,,
미화콘크리트(주),,비상장,2013,1,A-1,A-10,,,
(주)이앤코리아,,비상장,2017,1,A-1,,,,
(주)아이피몬스터 / [구](주)구름게임즈앤컴퍼니,223220,코넥스,2017,0,,,,,
삼영이엔씨(주),065570,코스닥,2012,1,A-9,A-2,,,
삼영이엔씨(주),065570,코스닥,2013,1,A-9,A-2,,,
삼영이엔씨(주),065570,코스닥,2014,1,,A-2,,,
삼영이엔씨(주),065570,코스닥,2015,1,A-9,A-2,,,
삼영이엔씨(주),065570,코스닥,2016,1,,A-2,,,
(주)제낙스,065620,코스닥,2012,1,A-3,,,,
(주)제낙스,065620,코스닥,2013,1,A-3,,,,
(주)제낙스,065620,코스닥,2014,1,A-3,,,,
(주)제낙스,065620,코스닥,2015,1,A-3,A-1,,,
(주)제낙스,065620,코스닥,2016,1,A-3,A-1,,,
(주)제낙스,065620,코스닥,2017,1,A-3,A-1,,,
(주)제낙스,065620,코스닥,2018,1,,A-1,,,
(주)디지털대성,068930,코스닥,2014,1,A-1,,,,
(주)디지털대성,068930,코스닥,2015,1,A-1,,,,
(주)동명기술공단종합건축사사무소,,비상장,2012,1,A-1,,,,
세종기업(주),,비상장,2012,1,A-1,,,,
(주)미래SCI / [구](주)스페로글로벌,028040,코스닥,2015,1,A-1,,,,
(주)미래SCI / [구](주)스페로글로벌,028040,코스닥,2016,1,A-1,,,,
(주)이엠앤아이 / [구](주)케이제이프리텍,083470,코스닥,2017,1,A-3,A-11,,,
(주)지와이커머스,111820,코스닥,2017,1,A-3,,,,
나노캠텍(주),091970,코스닥,2018,0,,,,,
(주)코디,080530,코스닥,2015,0,,,,,
(주)코디,080530,코스닥,2016,1,A-3,,,,
(주)프리젠,,비상장,2013,1,A-1,,,,
(주)프리젠,,비상장,2014,1,A-1,,,,
(주)프리젠,,비상장,2015,1,A-1,,,,
(주)프리젠,,비상장,2016,1,A-1,,,,
(주)지엠알머티리얼즈,032860,코스닥,2012,0,,,,,
(주)지엠알머티리얼즈,032860,코스닥,2013,1,A-2,,,,
(주)지엠알머티리얼즈,032860,코스닥,2014,1,A-2,,,,
(주)지엠알머티리얼즈,032860,코스닥,2015,1,A-2,,,,
(주)지엠알머티리얼즈,032860,코스닥,2016,0,,,,,
(주)육천건설,,비상장,2013,1,A-10,,,,
(주)육천건설,,비상장,2014,1,A-10,,,,
(주)육천건설,,비상장,2015,1,A-10,A-7,,,
(주)대명종합건설,,비상장,2015,0,,,,,
광성기업(주),,비상장,2012,1,A-7,,,,
광성기업(주),,비상장,2013,1,A-7,,,,
광성기업(주),,비상장,2014,1,A-7,,,,
(주)코리드,033430,코스닥,2012,0,,,,,
(주)코리드,033430,코스닥,2014,1,A-11,,,,
(주)코리드,033430,코스닥,2015,1,A-11,,,,
(주)씨아이테크,004920,코스피,2014,1,A-1,,,,
(주)씨아이테크,004920,코스피,2015,1,A-1,,,,
한신공영(주),004960,코스피,2012,1,A-9,A-13,,,
한신공영(주),004960,코스피,2013,1,A-9,A-13,,,
(주)케이엔씨글로벌,068150,코스닥,2013,1,A-1,,,,
대우조선해양(주),042660,코스피,2012,1,A-1,A-9,,,
대우조선해양(주),042660,코스피,2013,1,A-1,A-9,A-11,A-10,
대우조선해양(주),042660,코스피,2014,1,A-1,A-9,A-11,A-10,
대우조선해양(주),042660,코스피,2015,1,A-1,A-9,A-11,A-10,
(주)뉴보텍,060260,코스닥,2014,1,A-10,,,,
(주)뉴보텍,060260,코스닥,2015,1,A-10,,,,
(주)뉴보텍,060260,코스닥,2016,1,A-10,,,,
(주)뉴보텍,060260,코스닥,2017,1,A-10,,,,
(주)뉴보텍,060260,코스닥,2018,1,A-10,,,,
(주)위즈덤에프에이치,,비상장,2017,1,A-11,,,,
(주)위즈덤에프에이치,,비상장,2018,1,A-11,,,,
성지건설(주),005980,비상장,2012,1,A-9,,,,
성지건설(주),005980,비상장,2013,1,A-9,,,,
성지건설(주),005980,비상장,2014,1,A-9,,,,
성지건설(주),005980,비상장,2015,1,A-9,,,,
(주)한국비엔씨,226610,코넥스,2016,0,,,,,
(주)엘아이에스,138690,코스닥,2012,1,A-5,,,,
(주)엘아이에스,138690,코스닥,2013,1,A-5,,,,
(주)엘아이에스,138690,코스닥,2014,1,A-5,,,,
(주)엘아이에스,138690,코스닥,2015,1,A-5,,,,
엘브스오토모티브(주),,비상장,2016,0,,,,,
보국전기공업(주),,비상장,2016,1,A-9,,,,
(주)이노와이즈,086250 ,코스닥,2016,1,A-3,,,,
(주)이노와이즈,086250 ,코스닥,2017,1,A-3,,,,
(주)엘시티피에프브이,,비상장,2012,1,A-5,,,,
(주)엘시티피에프브이,,비상장,2013,1,A-5,,,,
(주)엘시티피에프브이,,비상장,2014,1,A-5,,,,
(주)엘시티피에프브이,,비상장,2015,1,A-5,,,,
(주)엘시티피에프브이,,비상장,2016,1,A-5,,,,
(주)엘시티피에프브이,,비상장,2017,1,A-5,,,,
(주)에프티이앤이,065160,비상장,2012,1,A-3,,,,
(주)에프티이앤이,065160,비상장,2013,1,A-3,,,,
(주)에프티이앤이,065160,비상장,2014,1,A-1,A-2,A-3,,
(주)에프티이앤이,065160,비상장,2015,1,A-1,A-2,A-3,,
(주)에프티이앤이,065160,비상장,2016,1,A-1,A-2,,,
이니텍(주),053350,코스닥,2015,1,A-1,,,,
(주)이수화학,005950,코스피,2012,1,A-10,,,,
(주)이수화학,005950,코스피,2013,1,A-10,,,,
(주)이수화학,005950,코스피,2014,1,A-10,,,,
(주)이수화학,005950,코스피,2015,1,A-10,,,,
(주)이수화학,005950,코스피,2016,1,A-10,,,,
(주)이수화학,005950,코스피,2017,1,A-10,,,,
(주)한진중공업,097230,코스피,2014,1,A-5,,,,
(주)한진중공업,097230,코스피,2015,1,A-5,A-1,A-9,,
(주)케이티이엔지코어,,비상장,2012,1,A-1,,,,
(주)오리엔탈정공,014940,코스닥,2015,0,,,,,
(주)서연오토비전,,비상장,2012,0,,,,,
퍼시픽바이오(주),060900,코스닥,2012,1,A-6,,,,
퍼시픽바이오(주),060900,코스닥,2013,1,A-6,,,,
퍼시픽바이오(주),060900,코스닥,2014,1,A-6,A-10,A-11,,
퍼시픽바이오(주),060900,코스닥,2015,1,A-6,A-10,A-11,,
(주)프로텍,053610,코스닥,2013,0,,,,,
(주)프로텍,053610,코스닥,2014,0,,,,,
(주)프로텍,053610,코스닥,2015,0,,,,,
(주)프로텍,053610,코스닥,2016,0,,,,,
(주)프로텍,053610,코스닥,2017,0,,,,,
(주)프로텍,053610,코스닥,2018,0,,,,,
(주)프로텍,053610,코스닥,2019,0,,,,,
(주)상상인인더스트리,101000,코스닥,2017,1,A-6,,,,
(주)상상인인더스트리,101000,코스닥,2018,1,A-6,,,,
(주)상상인인더스트리,101000,코스닥,2019,1,A-6,,,,
(주)이엠따블유,079190,코스닥,2016,1,A-1,A-2,A-3,,
(주)이엠따블유,079190,코스닥,2017,1,A-1,A-2,A-3,,
(주)위너지스 / [구](주)카테아,026260,코스닥,2015,1,A-1,A-3,,,
(주)위너지스 / [구](주)카테아,026261,코스닥,2016,1,A-1,A-3,,,
(주)디지털타임스,,비상장,2015,1,A-9,A-1,,,
(주)디지털타임스,,비상장,2016,1,A-10,A-2,,,
(주)디지털타임스,,비상장,2017,1,A-11,A-3,,,
대우조선해양(주),042660,코스피,2012,1,A-1,A-2,A-7,A-9,
대우조선해양(주),042660,코스피,2013,1,A-1,A-2,A-3,A-7,A-9
대우조선해양(주),042660,코스피,2014,1,A-1,A-2,A-3,A-7,A-9
대우조선해양(주),042660,코스피,2015,1,A-1,A-2,A-3,A-7,A-9
(주)에스제이엠,123700,코스피,2012,1,A-3,,,,
(주)에스제이엠,123700,코스피,2013,1,A-3,,,,
(주)에스제이엠,123700,코스피,2014,1,A-3,,,,
(주)에스제이엠,123700,코스피,2015,1,A-3,,,,
(주)에스제이엠홀딩스,025530,코스피,2012,1,A-3,,,,
(주)에스제이엠홀딩스,025530,코스피,2013,1,A-3,,,,
(주)에스제이엠홀딩스,025530,코스피,2014,1,A-3,,,,
(주)에스제이엠홀딩스,025530,코스피,2015,1,A-3,,,,
(주)카스,016920,코스닥,2012,1,A-1,A-9,,,
(주)카스,016920,코스닥,2013,1,A-1,A-2,A-9,,
한국항공우주산업(주),047810,코스피,2012,1,A-1,A-2,A-7,,
한국항공우주산업(주),047810,코스피,2013,1,A-1,A-2,A-7,,
한국항공우주산업(주),047810,코스피,2014,1,A-1,A-2,A-7,,
한국항공우주산업(주),047810,코스피,2015,1,A-1,A-2,A-7,,
한국항공우주산업(주),047810,코스피,2016,1,A-1,A-2,A-7,,
한국항공우주산업(주),047810,코스피,2017,1,A-1,A-2,A-7,,
알서포트(주),131370,코스닥,2015,1,A-3,,,,
알서포트(주),131370,코스닥,2016,1,A-3,,,,
(주)기가레인,049080,코스닥,2014,1,A-1,A-4,,,
(주)기가레인,049080,코스닥,2015,1,A-1,A-4,,,
(주)기가레인,049080,코스닥,2016,1,A-1,A-4,,,
(주)기가레인,049080,코스닥,2017,1,A-1,A-4,,,
(주)기가레인,049080,코스닥,2018,1,A-1,A-4,,,
(주)기가레인,049080,코스닥,2019,1,A-4,,,,
경남제약(주),053950,코스닥,2012,1,A-1,A-3,,,
경남제약(주),053950,코스닥,2013,1,A-1,A-3,,,
(주)솔라즈 / [구] (주)다스씨앤,,비상장,2015,1,A-2,,,,
(주)에이비비코리아,,비상장,2012,1,A-9,,,,
(주)에이비비코리아,,비상장,2013,1,A-9,,,,
(주)에이비비코리아,,비상장,2014,1,A-9,A-5,,,
(주)에이비비코리아,,비상장,2015,1,A-9,,,,
코스모화학(주),005420,코스피,2012,0,,,,,
코스모화학(주),005420,코스피,2013,0,,,,,
코스모화학(주),005420,코스피,2014,0,,,,,
코스모화학(주),005420,코스피,2015,0,,,,,
코스모화학(주),005420,코스피,2016,0,,,,,
코스모화학(주),005420,코스피,2017,0,,,,,
(주)파이오링크,170790,코스닥,2012,1,A-1,A-9,,,
(주)파이오링크,170790,코스닥,2013,1,A-1,A-9,,,
(주)파이오링크,170790,코스닥,2014,1,A-1,A-9,,,
(주)휴벡셀,212310,코넥스,2016,1,A-1,,,,
(주)휴벡셀,212310,코넥스,2017,1,A-1,,,,
(주)씨젠,096530,코스닥,2012,1,A-1,A-4,,,
(주)씨젠,096530,코스닥,2013,1,A-1,A-4,,,
(주)씨젠,096530,코스닥,2014,1,A-1,A-4,,,
(주)씨젠,096530,코스닥,2015,1,A-1,A-4,,,
(주)씨젠,096530,코스닥,2016,1,A-1,A-4,,,
(주)씨젠,096530,코스닥,2017,1,A-1,A-4,,,
(주)씨젠,096530,코스닥,2018,1,A-1,,,,
(주)한일진공(뉴온),123840,코스닥,2016,0,,,,,
(주)한일진공,123840,코스닥,2017,0,,,,,
(주)예스코홀딩스,015360,코스피,2018,1,A-10,,,,
(주)엘앤에프,066970,코스닥,2012,1,A-10,,,,
(주)엘앤에프,066970,코스닥,2013,1,A-10,,,,
(주)엘앤에프,066970,코스닥,2014,1,A-10,,,,
(주)승화프리텍(세왕),111610,비상장,2013,0,,,,,
(주)승화프리텍,111610,비상장,2014,1,A-4,,,,
(주)케이지모빌리언스,046440,코스닥,2012,0,,,,,
(주)케이지모빌리언스,046440,코스닥,2013,0,,,,,
(주)케이지모빌리언스,046440,코스닥,2014,0,,,,,
(주)케이지모빌리언스,046440,코스닥,2015,0,,,,,
(주)케이지이니시스,035600,코스닥,2014,0,,,,,
(주)케이지이니시스,035600,코스닥,2015,0,,,,,
KG케미칼(주),001390,코스피,2015,0,,,,,
(주)정우비나,,비상장,2014,1,A-11,,,,
(주)정우비나,,비상장,2015,1,A-11,,,,
(주)삼호건설,,비상장,2013,1,A-7,,,,
(주)삼호건설,,비상장,2014,1,A-7,,,,
(주)삼호건설,,비상장,2015,1,A-7,,,,
참엔지니어링(주),009310,코스피,2012,1,A-1,A-3,,,
참엔지니어링(주),009310,코스피,2013,1,A-1,A-3,,,
참엔지니어링(주),009310,코스피,2014,1,A-3,,,,
(주)제이에스피브이,250300,코넥스,2014,1,A-1,,,,
(주)제이에스피브이,250300,코넥스,2015,1,A-1,A-9,,,
(주)제이에스피브이,250300,코넥스,2016,1,A-1,,,,
(주)제이에스피브이,250300,코넥스,2017,1,A-1,A-7,,,
(주)씨씨에스충북방송,066790,코스닥,2014,1,A-3,A-13,,,
(주)씨씨에스충북방송,066790,코스닥,2015,1,A-3,A-13,,,
(주)씨씨에스충북방송,066790,코스닥,2016,1,A-3,A-13,,,
(주)씨씨에스충북방송,066790,코스닥,2017,1,A-3,A-13,,,